"summary_id","gold tokens","pred tokens"
"134","On|some|of|the|days|in|the|past|week,|your|calorie|intake|has|been|high.|</s>","On|some|of|the|days|in|the|past|week,|your|calorie|intake|has|been|low.|</s>"
"135","On|some|of|the|days|in|the|past|week,|your|calorie|intake|has|been|high.|</s>","On|some|of|the|days|in|the|past|week,|your|calorie|intake|has|been|low.|</s>"
"136","On|some|of|the|days|in|the|past|week,|your|calorie|intake|has|been|low.|</s>","On|some|of|the|days|in|the|past|week,|your|calorie|intake|has|been|low.|</s>"
"137","On|some|of|the|days|in|the|past|week,|your|calorie|intake|has|been|low.|</s>","On|some|of|the|days|in|the|past|week,|your|calorie|intake|has|been|low.|</s>"
"138","On|some|of|the|days|in|the|past|week,|your|calorie|intake|has|been|low.|</s>","On|some|of|the|days|in|the|past|week,|your|calorie|intake|has|been|low.|</s>"
"139","On|some|of|the|days|in|the|past|week,|your|calorie|intake|has|been|low.|</s>","On|some|of|the|days|in|the|past|week,|your|calorie|intake|has|been|low.|</s>"
"140","On|some|of|the|days|in|the|past|week,|your|calorie|intake|has|been|high.|</s>","On|some|of|the|days|in|the|past|week,|your|calorie|intake|has|been|low.|</s>"
"141","On|some|of|the|days|in|the|past|week,|your|calorie|intake|has|been|moderate.|</s>","On|some|of|the|days|in|the|past|week,|your|calorie|intake|has|been|low.|</s>"
"142","On|some|of|the|days|in|the|past|week,|your|calorie|intake|has|been|very|low.|</s>","On|some|of|the|days|in|the|past|week,|your|calorie|intake|has|been|low.|</s>"
"143","On|some|of|the|days|in|the|past|week,|your|calorie|intake|has|been|very|low.|</s>","On|some|of|the|days|in|the|past|week,|your|calorie|intake|has|been|low.|</s>"
"144","On|some|of|the|days|in|the|past|week,|your|calorie|intake|has|been|very|low.|</s>","On|some|of|the|days|in|the|past|week,|your|calorie|intake|has|been|low.|</s>"
"145","On|some|of|the|days|in|the|past|week,|your|calorie|intake|has|been|very|low.|</s>","On|some|of|the|days|in|the|past|week,|your|calorie|intake|has|been|low.|</s>"
"146","On|some|of|the|days|in|the|past|week,|your|calorie|intake|has|been|low.|</s>","On|some|of|the|days|in|the|past|week,|your|calorie|intake|has|been|low.|</s>"
"147","On|some|of|the|days|in|the|past|week,|your|calorie|intake|has|been|low.|</s>","On|some|of|the|days|in|the|past|week,|your|calorie|intake|has|been|low.|</s>"
